,Filename,Flowrate,SaPerm,MgPerm,MajorAnisotropy,MinAnisotropy,MagnesitePercentageInitial,SandPercentageInitial,MagnesitePercentageInitial.1,SandPercentageInitial.1,Porosity,OveralRate(mol/L/s),OveralRate(mol/s),AveragePorosity,pH,poriosity_change,kratio
1784,70%30%/100&10@7,5,1.00E-13,1.00E-13,100,10,0.3,0.7,0.267875,0.732125,0.35,-3.16E-08,-4.42E-09,35.0014196,8,0.0014196,1.00E+00
2741,91/100&20@1,5,1.00E-12,1.00E-13,100,20,0.1,0.9,0.061125,0.938875,0.35,-1.08E-08,-1.51E-09,35.0004934,4,0.0004934,1.00E-01
1991,80%20%/20&20@4,5,1.00E-13,1.00E-13,20,20,0.2,0.8,0.2149,0.7851,0.35,-3.19E-08,-4.47E-09,35.0015292,8,0.0015292,1.00E+00
3424,91/20&10@4,5,1.00E-12,1.00E-13,20,10,0.1,0.9,0.101475,0.898525,0.35,-2.38E-08,-3.33E-09,35.0012146,6,0.0012146,1.00E-01
262,6040/50&10@2,5,1.00E-12,1.00E-13,50,10,0.4,0.6,0.3948,0.6052,0.35,-3.15E-08,-4.41E-09,35.0015139,8,0.0015139,1.00E-01
1657,60%40%/100&50@1,5,1.00E-13,1.00E-13,100,50,0.4,0.6,0.409425,0.590575,0.35,-3.38E-08,-4.73E-09,35.0015316,8,0.0015316,1.00E+00
1195,8020/1&1@1,5,1.00E-13,1.00E-12,1,1,0.2,0.8,0.197175,0.802825,0.35,-3.18E-08,-4.45E-09,35.0015761,8,0.0015761,1.00E+01
935,6040/100&10@1,5,1.00E-13,1.00E-12,100,10,0.4,0.6,0.4334,0.5666,0.35,-3.16E-08,-4.42E-09,35.001561,8,0.001561,1.00E+01
191,6040/100&10@10,5,1.00E-12,1.00E-13,100,10,0.4,0.6,0.411725,0.588275,0.35,-2.92E-08,-4.09E-09,35.0014114,8,0.0014114,1.00E-01
2081,90%10%/100&10@4,5,1.00E-13,1.00E-13,100,10,0.1,0.9,0.07315,0.92685,0.35,-1.56E-08,-2.18E-09,35.0007239,8,0.0007239,1.00E+00
